Number,Row
1977412,201349
197771,201553
197772,201757
1978413,201961
1978546,202165
1980426,202369
1980456,202573
1980541,202777
1980918,202981
1980923,203185
1980926,203389
1980931,203593
1980941,203797
1980946,204001
1981041,204205
1981164,204409
1981166,204613
1981167,204817
1981510,205021
1982090,205225
1982093,205429
1982096,205633
1982100,205837
1982102,206041
1982105,206245
1982107,206449
1982112,206653
1982148,206857
1982151,207061
1982153,207265
1982219,207469
1982221,207673
1982225,207877
1982229,208081
1982237,208285
1982240,208489
1982245,208693
1982247,208897
1982269,209101
1982357,209305
1982360,209509
1982363,209713
1982364,209917
1982365,210121
1982368,210325
1982371,210529
1982373,210733
1982377,210937
198252,211141
1982555,211345
1982560,211549
1982561,211753
1982563,211957
1982567,212161
1982570,212365
1982575,212569
1982577,212773
1982580,212977
1982584,213181
1982588,213385
1982591,213589
1982596,213793
1982626,213997
1982660,214201
1982747,214405
1982750,214609
1982751,214813
1982882,215017
1982890,215221
1982894,215425
1982895,215629
1982903,215833
1982918,216037
1983117,216241
1983550,216445
1983736,216649
1983739,216853
1983742,217057
1983750,217261
1984775,217465
1984778,217669
1984783,217873
1984787,218077
1984790,218281
1984796,218485
1984800,218689
1985175,218893
1985182,219097
1985290,219301
1985305,219505
1985310,219709
1985326,219913
1985337,220117
1985342,220321
1985354,220525
1985689,220729
1985695,220933
1985698,221137
1985704,221341
1985714,221545
1985726,221749
1985729,221953
1985730,222157
1985731,222361
1985732,222565
1985736,222769
1985737,222973
1985740,223177
1985983,223381
1986027,223585
1986034,223789
1986112,223993
1986113,224197
1986118,224401
1986204,224605
1986538,224809
1986960,225013
1987921,225217
1987993,225421
1987994,225625
1993650,225829
1993859,226033
1993872,226237
199441,226441
199596,226645
2001,226849
2003188,227053
2003329,227257
2003391,227461
2003649,227665
2003678,227869
200415,228073
2004457,228277
2005060,228481
2005460,228685
2005701,228889
2006,229093
2006110,229297
2006134,229501
2006145,229705
2006175,229909
2010829,230113
2011073,230317
2011074,230521
2011075,230725
2011076,230929
2011077,231133
2011078,231337
2011079,231541
2011080,231745
2011081,231949
2011082,232153
2011083,232357
2011088,232561
2016596,232765
2017482,232969
2020,233173
2021234,233377
2024580,233581
2024608,233785
2025079,233989
2026,234193
2026624,234397
2026885,234601
2027857,234805
2028345,235009
2029849,235213
2030964,235417
2034170,235621
2034996,235825
2034999,236029
2035,236233
2036206,236437
2038343,236641
2039,236845
204090,237049
2041855,237253
2041859,237457
2043170,237661
2045,237865
2045011,238069
204525,238273
2047,238477
2047767,238681
2047966,238885
2049305,239089
2049886,239293
2051,239497
2051959,239701
2052899,239905
2054,240109
2055893,240313
2056194,240517
2057,240721
2058135,240925
2058175,241129
2058657,241333
205868,241537
205869,241741
205870,241945
205872,242149
205875,242353
205876,242557
205879,242761
205910,242965
2060092,243169
2060093,243373
2060142,243577
2060973,243781
2061,243985
206403,244189
206506,244393
2066,244597
2066483,244801
2067065,245005
2067960,245209
2068655,245413
2069432,245617
2070537,245821
2072590,246025
207343,246229
207949,246433
2079521,246637
2079791,246841
2079792,247045
208199,247249
208216,247453
208226,247657
2083181,247861
208479,248065
2086584,248269
2086585,248473
2093824,248677
2093856,248881
2093857,249085
2094025,249289
2095,249493
2097,249697
2099786,249901
2108365,250105
2108523,250309
2109913,250513
2109914,250717
2109915,250921
211114,251125
2115,251329
2115978,251533
2116657,251737
2118,251941
2126321,252145
2126346,252349
2126984,252553
213034,252757
2133944,252961
2136037,253165
213633,253369
214851,253573
214888,253777
2151,253981
215591,254185
215813,254389
2161677,254593
2161747,254797
2161875,255001
2161876,255205
2161880,255409
2163011,255613
2163644,255817
216465,256021
216778,256225
216816,256429
216933,256633
2169400,256837
2169571,257041
2169685,257245
2169686,257449
2169687,257653
2169689,257857
2169692,258061
2169700,258265
2169704,258469
2169707,258673
2169721,258877
2169724,259081
2169725,259285
2169730,259489
2169731,259693
2169775,259897
2169798,260101
2169814,260305
2169834,260509
2169853,260713
2169860,260917
2169864,261121
2169868,261325
2169870,261529
2169883,261733
2169893,261937
2169894,262141
2169905,262345
2169910,262549
2169918,262753
2169919,262957
2169921,263161
2169922,263365
2169925,263569
2169926,263773
2169927,263977
2169937,264181
2169963,264385
2169965,264589
2169978,264793
2170027,264997
2170030,265201
2170047,265405
2170052,265609
2170091,265813
2170098,266017
2170116,266221
2170139,266425
2170191,266629
2170203,266833
2170215,267037
2170216,267241
2170221,267445
2170233,267649
2170234,267853
2170235,268057
2170236,268261
2170237,268465
2170239,268669
2170248,268873
2170254,269077
2170745,269281
2171623,269485
2171755,269689
2172099,269893
2172103,270097
2173,270301
2173034,270505
2176,270709
217686,270913
2180,271117
218208,271321
2182400,271525
2183582,271729
2183911,271933
2184083,272137
2187,272341
2189,272545
219174,272749
219314,272953
2198,273157
2199,273361
2201,273565
2202149,273769
2202721,273973
2203,274177
220697,274381
2209,274585
2211106,274789
2211108,274993
2211140,275197
2213194,275401
2213226,275605
221402,275809
2218628,276013
2219043,276217
221915,276421
2219224,276625
2220095,276829
2220096,277033
2224,277237
222819,277441
2231055,277645
2231603,277849
2233999,278053
2238,278257
223967,278461
2246,278665
2247,278869
225148,279073
225194,279277
225588,279481
2257,279685
2259620,279889
2259673,280093
225992,280297
2268024,280501
2268449,280705
2269,280909
227086,281113
227318,281317
227470,281521
2275,281725
2280,281929
2282148,282133
2282206,282337
2283160,282541
2283195,282745
2283318,282949
2287,283153
228745,283357
2290923,283561
2291597,283765
2292766,283969
2293,284173
2293317,284377
2296,284581
229731,284785
2303331,284989
2303538,285193
2304600,285397
2305987,285601
2306623,285805
230871,286009
231049,286213
2315,286417
2315862,286621
2316383,286825
2317,287029
2320,287233
2320858,287437
2321403,287641
2322,287845
232237,288049
232259,288253
2331,288457
233100,288661
233181,288865
233894,289069
2341112,289273
2341117,289477
234827,289681
2350,289885
2352,290089
235201,290293
235266,290497
2358,290701
2364647,290905
236753,291109
2371,291313
237258,291517
2377,291721
238,291925
2382161,292129
239935,292333
240426,292537
240427,292741
240495,292945
241244,293149
241425,293353
2419771,293557
2419772,293761
2419774,293965
2421,294169
2424,294373
242527,294577
242600,294781
242606,294985
242703,295189
244589,295393
244596,295597
244787,295801
245188,296005
245685,296209
248039,296413
2483033,296617
2483799,296821
2487072,297025
2487118,297229
2490858,297433
2493639,297637
249402,297841
2494234,298045
2494373,298249
2494374,298453
2494552,298657
2495645,298861
2496265,299065
2496266,299269
2498113,299473
2498135,299677
2498451,299881
2499157,300085
2499618,300289
2499620,300493
2499621,300697
2499622,300901
2499677,301105
2499678,301309
2499685,301513
2499932,301717
2500533,301921
2500547,302125
2501933,302329
2501934,302533
2501935,302737
2501936,302941
2501937,303145
2501942,303349
2501943,303553
2501944,303757
2501945,303961
2501946,304165
2501947,304369
2501958,304573
2501965,304777
2501969,304981
2502000,305185
2502779,305389
2505977,305593
2506420,305797
2507160,306001
2507161,306205
2507162,306409
2507290,306613
2507503,306817
2507538,307021
2508226,307225
2508233,307429
2508237,307633
