Domain,#,Kingdom,#,Phylum,#,Class,#,Order,#,Family,#
,,,,Candidatus Uabimicrobiia,1,Stappiaceae,5,Geodermatophilales,3,Chroococcaceae,2
,,,,Tepidiformia,1,Dermacoccaceae,5,Rhodothermales,3,Klebsiella/Raoultella group,2
,,,,Candidatus Mycosynbacter,1,Isosphaeraceae,5,Moorellales,3,Pseudooceanicola,2
,,,,Tichowtungiia,1,Aerococcaceae,5,Parvularculales,3,Ancylobacter,2
,,,,Candidatus Thermofonsia,1,Devosiaceae,5,Acidiferrobacterales,3,Limnobaculum,2
,,,,Chazhemtobacterium,1,Cytophagaceae,5,Anaerolineales,3,Alteromonas/Salinimonas group,2
,,,,Candidatus Absconditabacterales,1,Hymenobacteraceae,5,Hyphomonadales,3,Pantoea,2
,,,,Candidatus Izimaplasma,1,Caulobacteraceae,5,Sedimentisphaerales,3,Luna cluster,2
,,,,Methylacidimicrobium,1,Leptotrichiaceae,5,Silvanigrellales,3,Piscinibacter,2
,,,,Candidatus Minimicrobia,1,Azospirillaceae,5,Emcibacterales,3,Geminocystaceae,2
,,,,Atribacteria,1,Prevotellaceae,5,Metamycoplasmataceae,3,Nocardioides,2
,,,,Candidatus Sulfidibacteriales,1,Colwelliaceae,5,Nevskiales,3,Halothecacae,2
,,,,Hydrogenophilia,1,Arcobacteraceae,5,Thermosediminibacterales,3,Ustilaginomycetes,2
,,,,Syntrophia,1,Thermaceae,5,Phycisphaerales,3,Trypanosomatida,2
,,,,Dethiobacteria,1,Geobacteraceae,5,Veillonellales,3,Piroplasmida,2
,,,,Coprothermobacteria,1,Halieaceae,5,Puniceicoccales,3,Azeredovirinae,2
,,,,Elusimicrobia,1,Anaplasmataceae,5,Bdellovibrionales,3,Eucampyvirinae,2
,,,,Desulfarculia,1,Howeltoviricetes,5,Saleviricota,3,Stellavirales,2
,,,,Chthonomonadetes,1,Flasuviricetes,5,Dividoviricota,3,Mulpavirales,2
,,,,Candidatus Cloacimonadia,1,Thermoproteaceae,4,Nitrososphaerales,2,Priklausovirales,2
,,,,Blastocatellia,1,Coprobacillaceae,4,Thermofilales,2,Kantovirinae,2
,,,,Rubrobacteria,1,Chlorobiaceae,4,Acidilobales,2,Ceeclamvirinae,2
,,,,Methylacidiphilae,1,Leptolyngbyaceae,4,Pleurocapsales,2,Dclasvirinae,2
,,,,Desulfobaccia,1,Thermodesulfobacteriaceae,4,Chloroflexales,2,Mccleskeyvirinae,2
,,,,Caldisericota,1,Aquificaceae,4,Ignavibacteriales,2,Gorgonvirinae,2
,,,,Fibrobacteria,1,Maricaulaceae,4,Gomontiellales,2,Bronfenbrennervirinae,2
,,,,Desulfurellia,1,Parvibaculaceae,4,Kosmotogales,2,Stephanstirmvirinae,2
,,,,Chrysiogenetes,1,Rhodocyclaceae,4,Syntrophobacterales,2,Methanobavirales,2
,,,,Rhizaria,1,Aurantimonadaceae,4,Acaryochloridales,2,Orthopolintovirales,2
,,,,Evosea,1,Budviciaceae,4,Bradymonadaceae,2,Primavirales,2
,,,,Pyrenomonadales,1,Polyangiaceae,4,Leptospirales,2,Skryabinvirinae,2
,,,,Parabasalia,1,Alicyclobacillaceae,4,Gemmatimonadales,2,Gutmannvirinae,2
,,,,Diplomonadida,1,Beijerinckiaceae,4,Nitrospirales,2,Winoviridae,2
,,,,Fungi incertae sedis,1,Rickettsiaceae,4,Candidatus Nanopelagicales,2,Trabyvirinae,2
,,,,Betaguttavirus,1,Bifidobacteriaceae,4,Candidatus Pelagibacterales,2,Eekayvirinae,2
,,,,Ichnoviriform,1,Moraxellaceae,4,Candidatus Babeliales,2,Vertoviridae,2
,,,,Alphaspiravirus,1,Nocardiopsaceae,4,Mycoplasmataceae,2,Autolykiviridae,2
